feature_path,emotion,split
features_logmel\train\312.npy,neutral,train
features_logmel\train\313.npy,angry,train
features_logmel\train\314.npy,happy,train
features_logmel\train\315.npy,neutral,train
features_logmel\train\316.npy,happy,train
features_logmel\train\317.npy,neutral,train
features_logmel\train\318.npy,neutral,train
features_logmel\train\319.npy,neutral,train
features_logmel\train\320.npy,sad,train
features_logmel\train\321.npy,happy,train
features_logmel\train\322.npy,angry,train
features_logmel\train\323.npy,neutral,train
features_logmel\train\324.npy,angry,train
features_logmel\train\325.npy,neutral,train
features_logmel\train\326.npy,angry,train
features_logmel\train\327.npy,neutral,train
features_logmel\train\328.npy,neutral,train
features_logmel\train\329.npy,neutral,train
features_logmel\train\330.npy,neutral,train
features_logmel\train\331.npy,neutral,train
features_logmel\train\332.npy,sad,train
features_logmel\train\333.npy,neutral,train
features_logmel\train\334.npy,happy,train
features_logmel\train\335.npy,angry,train
features_logmel\train\336.npy,sad,train
features_logmel\train\337.npy,angry,train
features_logmel\train\338.npy,happy,train
features_logmel\train\339.npy,happy,train
features_logmel\train\340.npy,neutral,train
features_logmel\train\341.npy,happy,train
features_logmel\train\342.npy,happy,train
features_logmel\train\343.npy,neutral,train
features_logmel\train\344.npy,sad,train
features_logmel\train\345.npy,angry,train
features_logmel\train\346.npy,neutral,train
features_logmel\train\347.npy,neutral,train
features_logmel\train\348.npy,angry,train
features_logmel\train\349.npy,sad,train
features_logmel\train\350.npy,sad,train
features_logmel\train\351.npy,happy,train
features_logmel\train\352.npy,happy,train
features_logmel\train\353.npy,angry,train
features_logmel\train\354.npy,sad,train
features_logmel\train\355.npy,neutral,train
features_logmel\train\356.npy,sad,train
features_logmel\train\357.npy,sad,train
features_logmel\train\358.npy,sad,train
features_logmel\train\359.npy,sad,train
features_logmel\train\360.npy,angry,train
features_logmel\train\361.npy,neutral,train
features_logmel\train\362.npy,sad,train
features_logmel\train\363.npy,sad,train
features_logmel\train\364.npy,neutral,train
features_logmel\train\365.npy,angry,train
features_logmel\train\366.npy,neutral,train
features_logmel\train\367.npy,neutral,train
features_logmel\train\368.npy,neutral,train
features_logmel\train\369.npy,neutral,train
features_logmel\train\370.npy,neutral,train
features_logmel\train\371.npy,happy,train
features_logmel\train\372.npy,happy,train
features_logmel\train\373.npy,neutral,train
features_logmel\train\374.npy,neutral,train
features_logmel\train\375.npy,happy,train
features_logmel\train\376.npy,happy,train
features_logmel\train\377.npy,happy,train
features_logmel\train\378.npy,sad,train
features_logmel\train\379.npy,neutral,train
features_logmel\train\380.npy,angry,train
features_logmel\train\381.npy,happy,train
features_logmel\train\382.npy,angry,train
features_logmel\train\383.npy,neutral,train
features_logmel\train\384.npy,happy,train
features_logmel\train\385.npy,angry,train
features_logmel\train\386.npy,sad,train
features_logmel\train\387.npy,neutral,train
features_logmel\train\388.npy,sad,train
features_logmel\train\389.npy,neutral,train
features_logmel\train\390.npy,happy,train
features_logmel\train\391.npy,happy,train
features_logmel\train\392.npy,neutral,train
features_logmel\train\393.npy,happy,train
features_logmel\train\394.npy,neutral,train
features_logmel\train\395.npy,angry,train
features_logmel\train\396.npy,sad,train
features_logmel\train\397.npy,sad,train
features_logmel\train\398.npy,neutral,train
features_logmel\train\399.npy,neutral,train
features_logmel\train\400.npy,angry,train
features_logmel\train\401.npy,angry,train
features_logmel\train\402.npy,sad,train
features_logmel\train\403.npy,angry,train
features_logmel\train\404.npy,happy,train
features_logmel\train\405.npy,sad,train
features_logmel\train\406.npy,happy,train
features_logmel\train\407.npy,sad,train
features_logmel\train\408.npy,angry,train
features_logmel\train\409.npy,sad,train
features_logmel\train\410.npy,sad,train
features_logmel\train\411.npy,sad,train
features_logmel\train\412.npy,happy,train
features_logmel\train\413.npy,neutral,train
features_logmel\train\414.npy,neutral,train
features_logmel\train\415.npy,neutral,train
features_logmel\train\416.npy,sad,train
features_logmel\train\417.npy,happy,train
features_logmel\train\418.npy,neutral,train
features_logmel\train\419.npy,happy,train
features_logmel\train\420.npy,neutral,train
features_logmel\train\421.npy,happy,train
features_logmel\train\422.npy,neutral,train
features_logmel\train\423.npy,happy,train
features_logmel\train\424.npy,happy,train
features_logmel\train\425.npy,happy,train
features_logmel\train\426.npy,neutral,train
features_logmel\train\427.npy,neutral,train
features_logmel\train\428.npy,sad,train
features_logmel\train\429.npy,angry,train
features_logmel\train\430.npy,neutral,train
features_logmel\train\431.npy,happy,train
features_logmel\train\432.npy,angry,train
features_logmel\train\433.npy,happy,train
features_logmel\train\434.npy,angry,train
features_logmel\train\435.npy,happy,train
features_logmel\train\436.npy,happy,train
features_logmel\train\437.npy,neutral,train
features_logmel\train\438.npy,sad,train
features_logmel\train\439.npy,angry,train
features_logmel\train\440.npy,happy,train
features_logmel\train\441.npy,neutral,train
features_logmel\train\442.npy,happy,train
features_logmel\train\443.npy,neutral,train
features_logmel\train\444.npy,happy,train
features_logmel\train\445.npy,sad,train
features_logmel\train\446.npy,angry,train
features_logmel\train\447.npy,happy,train
features_logmel\train\448.npy,neutral,train
features_logmel\train\449.npy,angry,train
features_logmel\train\450.npy,angry,train
features_logmel\train\451.npy,angry,train
features_logmel\train\452.npy,sad,train
features_logmel\train\453.npy,happy,train
features_logmel\train\454.npy,happy,train
features_logmel\train\455.npy,neutral,train
features_logmel\train\456.npy,sad,train
features_logmel\train\457.npy,happy,train
features_logmel\train\458.npy,angry,train
features_logmel\train\459.npy,neutral,train
features_logmel\train\460.npy,happy,train
features_logmel\train\461.npy,neutral,train
features_logmel\train\462.npy,angry,train
features_logmel\train\463.npy,sad,train
features_logmel\train\464.npy,happy,train
features_logmel\train\465.npy,neutral,train
features_logmel\train\466.npy,happy,train
features_logmel\train\467.npy,happy,train
features_logmel\train\468.npy,sad,train
features_logmel\train\469.npy,happy,train
features_logmel\train\470.npy,happy,train
features_logmel\train\471.npy,neutral,train
features_logmel\train\472.npy,sad,train
features_logmel\train\473.npy,happy,train
features_logmel\train\474.npy,sad,train
features_logmel\train\475.npy,neutral,train
features_logmel\train\476.npy,angry,train
features_logmel\train\477.npy,sad,train
features_logmel\train\478.npy,happy,train
features_logmel\train\479.npy,neutral,train
features_logmel\train\480.npy,sad,train
features_logmel\train\481.npy,happy,train
features_logmel\train\482.npy,neutral,train
features_logmel\train\483.npy,happy,train
features_logmel\train\484.npy,neutral,train
features_logmel\train\485.npy,happy,train
features_logmel\train\486.npy,neutral,train
features_logmel\train\487.npy,happy,train
features_logmel\train\488.npy,neutral,train
features_logmel\train\489.npy,sad,train
features_logmel\train\490.npy,happy,train
features_logmel\train\491.npy,happy,train
features_logmel\train\492.npy,neutral,train
features_logmel\train\493.npy,angry,train
features_logmel\train\494.npy,angry,train
features_logmel\train\495.npy,happy,train
features_logmel\train\496.npy,neutral,train
features_logmel\train\497.npy,neutral,train
features_logmel\train\498.npy,neutral,train
features_logmel\train\499.npy,angry,train
features_logmel\train\500.npy,neutral,train
features_logmel\train\501.npy,sad,train
features_logmel\train\502.npy,sad,train
features_logmel\train\503.npy,angry,train
features_logmel\train\504.npy,happy,train
features_logmel\train\505.npy,happy,train
features_logmel\train\506.npy,happy,train
features_logmel\train\507.npy,neutral,train
features_logmel\train\508.npy,happy,train
features_logmel\train\509.npy,happy,train
features_logmel\train\510.npy,sad,train
features_logmel\train\511.npy,happy,train
features_logmel\train\512.npy,happy,train
features_logmel\train\513.npy,neutral,train
features_logmel\train\514.npy,neutral,train
features_logmel\train\515.npy,neutral,train
features_logmel\train\516.npy,happy,train
features_logmel\train\517.npy,sad,train
features_logmel\train\518.npy,happy,train
features_logmel\train\519.npy,angry,train
features_logmel\train\520.npy,sad,train
features_logmel\train\521.npy,neutral,train
features_logmel\train\522.npy,neutral,train
features_logmel\train\523.npy,happy,train
features_logmel\train\524.npy,angry,train
features_logmel\train\525.npy,sad,train
features_logmel\train\526.npy,happy,train
features_logmel\train\527.npy,angry,train
features_logmel\train\528.npy,sad,train
features_logmel\train\529.npy,neutral,train
features_logmel\train\530.npy,happy,train
features_logmel\train\531.npy,happy,train
features_logmel\train\532.npy,neutral,train
features_logmel\train\533.npy,happy,train
features_logmel\train\534.npy,neutral,train
features_logmel\train\535.npy,happy,train
features_logmel\train\536.npy,sad,train
features_logmel\train\537.npy,neutral,train
features_logmel\train\538.npy,happy,train
features_logmel\train\539.npy,angry,train
features_logmel\train\540.npy,angry,train
features_logmel\train\541.npy,sad,train
features_logmel\train\542.npy,neutral,train
features_logmel\train\543.npy,happy,train
features_logmel\train\544.npy,neutral,train
features_logmel\train\545.npy,happy,train
features_logmel\train\546.npy,happy,train
features_logmel\train\547.npy,neutral,train
features_logmel\train\548.npy,angry,train
features_logmel\train\549.npy,neutral,train
features_logmel\train\550.npy,sad,train
features_logmel\train\551.npy,angry,train
features_logmel\train\552.npy,sad,train
features_logmel\train\553.npy,neutral,train
features_logmel\train\554.npy,happy,train
features_logmel\train\555.npy,angry,train
features_logmel\train\556.npy,happy,train
features_logmel\train\557.npy,angry,train
features_logmel\train\558.npy,angry,train
features_logmel\train\559.npy,neutral,train
features_logmel\train\560.npy,angry,train
features_logmel\train\561.npy,neutral,train
features_logmel\train\562.npy,happy,train
features_logmel\train\563.npy,neutral,train
features_logmel\train\564.npy,happy,train
features_logmel\train\565.npy,sad,train
features_logmel\train\566.npy,happy,train
features_logmel\train\567.npy,happy,train
features_logmel\train\568.npy,angry,train
features_logmel\train\569.npy,happy,train
features_logmel\train\570.npy,neutral,train
features_logmel\train\571.npy,happy,train
features_logmel\train\572.npy,happy,train
features_logmel\train\573.npy,angry,train
features_logmel\train\574.npy,sad,train
features_logmel\train\575.npy,angry,train
features_logmel\train\576.npy,neutral,train
features_logmel\train\577.npy,happy,train
features_logmel\train\578.npy,sad,train
features_logmel\train\579.npy,happy,train
features_logmel\train\580.npy,neutral,train
features_logmel\train\581.npy,sad,train
features_logmel\train\582.npy,neutral,train
features_logmel\train\583.npy,happy,train
features_logmel\train\584.npy,sad,train
features_logmel\train\585.npy,neutral,train
features_logmel\train\586.npy,sad,train
features_logmel\train\587.npy,sad,train
features_logmel\train\588.npy,happy,train
features_logmel\train\589.npy,sad,train
features_logmel\train\590.npy,happy,train
features_logmel\train\591.npy,sad,train
features_logmel\train\592.npy,angry,train
features_logmel\train\593.npy,sad,train
features_logmel\train\594.npy,angry,train
features_logmel\train\595.npy,angry,train
features_logmel\train\596.npy,sad,train
features_logmel\train\597.npy,sad,train
features_logmel\train\598.npy,neutral,train
features_logmel\train\599.npy,neutral,train
features_logmel\train\600.npy,angry,train
features_logmel\train\601.npy,happy,train
features_logmel\train\602.npy,sad,train
features_logmel\train\603.npy,neutral,train
features_logmel\train\604.npy,happy,train
features_logmel\train\605.npy,happy,train
features_logmel\train\606.npy,neutral,train
features_logmel\train\607.npy,happy,train
features_logmel\train\608.npy,angry,train
features_logmel\train\609.npy,neutral,train
features_logmel\train\610.npy,angry,train
features_logmel\train\611.npy,angry,train
features_logmel\train\612.npy,angry,train
features_logmel\train\613.npy,happy,train
features_logmel\train\614.npy,angry,train
features_logmel\train\615.npy,happy,train
features_logmel\train\616.npy,angry,train
features_logmel\train\617.npy,angry,train
features_logmel\train\618.npy,neutral,train
features_logmel\train\619.npy,happy,train
features_logmel\train\620.npy,happy,train
features_logmel\train\621.npy,sad,train
features_logmel\train\622.npy,neutral,train
features_logmel\train\623.npy,sad,train
features_logmel\train\624.npy,angry,train
features_logmel\train\625.npy,angry,train
features_logmel\train\626.npy,happy,train
features_logmel\train\627.npy,happy,train
features_logmel\train\628.npy,happy,train
features_logmel\train\629.npy,happy,train
features_logmel\train\630.npy,neutral,train
features_logmel\train\631.npy,angry,train
features_logmel\train\632.npy,happy,train
features_logmel\train\633.npy,sad,train
features_logmel\train\634.npy,angry,train
features_logmel\train\635.npy,angry,train
features_logmel\train\636.npy,neutral,train
features_logmel\train\637.npy,sad,train
features_logmel\train\638.npy,sad,train
features_logmel\train\639.npy,sad,train
features_logmel\train\640.npy,happy,train
features_logmel\train\641.npy,neutral,train
features_logmel\train\642.npy,neutral,train
features_logmel\train\643.npy,happy,train
features_logmel\train\644.npy,sad,train
features_logmel\train\645.npy,neutral,train
features_logmel\train\646.npy,sad,train
features_logmel\train\647.npy,angry,train
features_logmel\train\648.npy,neutral,train
features_logmel\train\649.npy,neutral,train
features_logmel\train\650.npy,happy,train
features_logmel\train\651.npy,neutral,train
features_logmel\train\652.npy,neutral,train
features_logmel\train\653.npy,happy,train
features_logmel\train\654.npy,happy,train
features_logmel\train\655.npy,neutral,train
features_logmel\train\656.npy,angry,train
features_logmel\train\657.npy,sad,train
features_logmel\train\658.npy,angry,train
features_logmel\train\659.npy,angry,train
features_logmel\train\660.npy,sad,train
features_logmel\train\661.npy,happy,train
features_logmel\train\662.npy,neutral,train
features_logmel\train\663.npy,sad,train
features_logmel\train\664.npy,sad,train
features_logmel\train\665.npy,sad,train
features_logmel\train\666.npy,sad,train
features_logmel\train\667.npy,neutral,train
features_logmel\train\668.npy,neutral,train
features_logmel\train\669.npy,angry,train
features_logmel\train\670.npy,happy,train
features_logmel\train\671.npy,neutral,train
features_logmel\train\672.npy,happy,train
features_logmel\train\673.npy,angry,train
features_logmel\train\674.npy,sad,train
features_logmel\train\675.npy,happy,train
features_logmel\train\676.npy,happy,train
features_logmel\train\677.npy,happy,train
features_logmel\train\678.npy,happy,train
features_logmel\train\679.npy,neutral,train
features_logmel\train\680.npy,happy,train
features_logmel\train\681.npy,happy,train
features_logmel\train\682.npy,happy,train
features_logmel\train\683.npy,neutral,train
features_logmel\train\684.npy,sad,train
features_logmel\train\685.npy,happy,train
features_logmel\train\686.npy,neutral,train
features_logmel\train\687.npy,angry,train
features_logmel\train\688.npy,neutral,train
features_logmel\train\689.npy,angry,train
features_logmel\train\690.npy,happy,train
features_logmel\train\691.npy,happy,train
features_logmel\train\692.npy,sad,train
features_logmel\train\693.npy,happy,train
features_logmel\train\694.npy,angry,train
features_logmel\train\695.npy,neutral,train
features_logmel\train\696.npy,happy,train
features_logmel\train\697.npy,happy,train
features_logmel\train\698.npy,sad,train
features_logmel\train\699.npy,angry,train
features_logmel\train\700.npy,sad,train
features_logmel\train\701.npy,neutral,train
features_logmel\train\702.npy,sad,train
features_logmel\train\703.npy,happy,train
features_logmel\train\704.npy,happy,train
features_logmel\train\705.npy,sad,train
features_logmel\train\706.npy,happy,train
features_logmel\train\707.npy,sad,train
features_logmel\train\708.npy,angry,train
features_logmel\train\709.npy,neutral,train
features_logmel\train\710.npy,sad,train
features_logmel\train\711.npy,happy,train
features_logmel\train\712.npy,happy,train
features_logmel\train\713.npy,sad,train
features_logmel\train\714.npy,angry,train
features_logmel\train\715.npy,happy,train
features_logmel\train\716.npy,neutral,train
features_logmel\train\717.npy,neutral,train
features_logmel\train\718.npy,sad,train
features_logmel\train\719.npy,happy,train
features_logmel\train\720.npy,angry,train
features_logmel\train\721.npy,sad,train
features_logmel\train\722.npy,neutral,train
features_logmel\train\723.npy,neutral,train
features_logmel\train\724.npy,happy,train
features_logmel\train\725.npy,angry,train
features_logmel\train\726.npy,sad,train
features_logmel\train\727.npy,angry,train
features_logmel\train\728.npy,angry,train
features_logmel\train\729.npy,sad,train
features_logmel\train\730.npy,angry,train
features_logmel\train\731.npy,neutral,train
features_logmel\train\732.npy,angry,train
features_logmel\train\733.npy,happy,train
features_logmel\train\734.npy,neutral,train
features_logmel\train\735.npy,sad,train
features_logmel\train\736.npy,sad,train
features_logmel\train\737.npy,sad,train
features_logmel\train\738.npy,sad,train
features_logmel\train\739.npy,happy,train
features_logmel\train\740.npy,sad,train
features_logmel\train\741.npy,happy,train
features_logmel\train\742.npy,happy,train
features_logmel\train\743.npy,happy,train
features_logmel\train\744.npy,angry,train
features_logmel\train\745.npy,angry,train
features_logmel\train\746.npy,angry,train
features_logmel\train\747.npy,neutral,train
features_logmel\train\748.npy,sad,train
features_logmel\train\749.npy,sad,train
features_logmel\train\750.npy,sad,train
features_logmel\train\751.npy,neutral,train
features_logmel\train\752.npy,sad,train
features_logmel\train\753.npy,happy,train
features_logmel\train\754.npy,angry,train
features_logmel\train\755.npy,happy,train
features_logmel\train\756.npy,angry,train
features_logmel\train\757.npy,happy,train
features_logmel\train\758.npy,sad,train
features_logmel\train\759.npy,angry,train
features_logmel\train\760.npy,neutral,train
features_logmel\train\761.npy,sad,train
features_logmel\train\762.npy,angry,train
