filepath,dataset,speaker_id,emotion_raw,emotion,split
C:\Code\Python\data\CREMA-D\AudioWAV\1053_IOM_ANG_XX.wav,CREMA-D,1053,ANG,angry,train
C:\Code\Python\data\CREMA-D\AudioWAV\1028_ITH_ANG_XX.wav,CREMA-D,1028,ANG,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro04\Ses01F_impro04_M021.wav,IEMOCAP,Ses01F,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05F_impro04\Ses05F_impro04_F041.wav,IEMOCAP,Ses05F,neu,neutral,train
C:\Code\Python\data\RAVDESS\Actor_01\03-01-04-01-01-02-01.wav,RAVDESS,01,04,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1036_IEO_SAD_MD.wav,CREMA-D,1036,SAD,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1086_IOM_SAD_XX.wav,CREMA-D,1086,SAD,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1050_IEO_HAP_LO.wav,CREMA-D,1050,HAP,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1064_TIE_NEU_XX.wav,CREMA-D,1064,NEU,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04F_script02_1\Ses04F_script02_1_F014.wav,IEMOCAP,Ses04F,ang,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01M_script01_3\Ses01M_script01_3_F021.wav,IEMOCAP,Ses01M,sad,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1008_MTI_ANG_XX.wav,CREMA-D,1008,ANG,angry,train
C:\Code\Python\data\CREMA-D\AudioWAV\1024_TSI_SAD_XX.wav,CREMA-D,1024,SAD,sad,train
C:\Code\Python\data\RAVDESS\audio_speech_actors_01-24\Actor_01\03-01-04-01-02-01-01.wav,RAVDESS,01,04,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04F_script02_2\Ses04F_script02_2_M020.wav,IEMOCAP,Ses04F,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05M_impro04\Ses05M_impro04_F035.wav,IEMOCAP,Ses05M,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05M_impro07\Ses05M_impro07_M001.wav,IEMOCAP,Ses05M,exc,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04M_impro04\Ses04M_impro04_F015.wav,IEMOCAP,Ses04M,neu,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1026_IOM_ANG_XX.wav,CREMA-D,1026,ANG,angry,train
C:\Code\Python\data\RAVDESS\Actor_03\03-01-02-01-02-02-03.wav,RAVDESS,03,02,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1048_TIE_ANG_XX.wav,CREMA-D,1048,ANG,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session2\sentences\wav\Ses02M_impro08\Ses02M_impro08_F024.wav,IEMOCAP,Ses02M,hap,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro07\Ses01F_impro07_F012.wav,IEMOCAP,Ses01F,exc,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1007_MTI_SAD_XX.wav,CREMA-D,1007,SAD,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05M_script01_1b\Ses05M_script01_1b_M036.wav,IEMOCAP,Ses05M,ang,angry,train
C:\Code\Python\data\CREMA-D\AudioWAV\1059_DFA_HAP_XX.wav,CREMA-D,1059,HAP,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session2\sentences\wav\Ses02M_impro07\Ses02M_impro07_M018.wav,IEMOCAP,Ses02M,exc,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1028_IWW_NEU_XX.wav,CREMA-D,1028,NEU,neutral,train
C:\Code\Python\data\RAVDESS\Actor_21\03-01-04-02-02-02-21.wav,RAVDESS,21,04,sad,train
C:\Code\Python\data\RAVDESS\audio_speech_actors_01-24\Actor_14\03-01-02-01-01-02-14.wav,RAVDESS,14,02,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1082_TAI_SAD_XX.wav,CREMA-D,1082,SAD,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1076_IWL_SAD_XX.wav,CREMA-D,1076,SAD,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05F_script02_1\Ses05F_script02_1_F011.wav,IEMOCAP,Ses05F,neu,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1009_IOM_NEU_XX.wav,CREMA-D,1009,NEU,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04F_impro07\Ses04F_impro07_M050.wav,IEMOCAP,Ses04F,exc,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1045_TAI_ANG_XX.wav,CREMA-D,1045,ANG,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03F_script02_1\Ses03F_script02_1_F000.wav,IEMOCAP,Ses03F,sad,sad,train
C:\Code\Python\data\RAVDESS\Actor_16\03-01-02-01-02-01-16.wav,RAVDESS,16,02,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1046_IWL_ANG_XX.wav,CREMA-D,1046,ANG,angry,train
C:\Code\Python\data\CREMA-D\AudioWAV\1084_IEO_HAP_LO.wav,CREMA-D,1084,HAP,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_impro05\Ses01F_impro05_M008.wav,IEMOCAP,Ses01F,neu,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1068_IWW_NEU_XX.wav,CREMA-D,1068,NEU,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session2\sentences\wav\Ses02M_impro03\Ses02M_impro03_F014.wav,IEMOCAP,Ses02M,exc,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1061_WSI_HAP_XX.wav,CREMA-D,1061,HAP,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03F_script03_2\Ses03F_script03_2_F015.wav,IEMOCAP,Ses03F,ang,angry,train
C:\Code\Python\data\CREMA-D\AudioWAV\1041_IOM_ANG_XX.wav,CREMA-D,1041,ANG,angry,train
C:\Code\Python\data\RAVDESS\audio_speech_actors_01-24\Actor_23\03-01-03-01-01-01-23.wav,RAVDESS,23,03,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03M_impro02\Ses03M_impro02_M000.wav,IEMOCAP,Ses03M,sad,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1057_IWW_ANG_XX.wav,CREMA-D,1057,ANG,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03M_impro04\Ses03M_impro04_F007.wav,IEMOCAP,Ses03M,sad,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04F_impro04\Ses04F_impro04_F031.wav,IEMOCAP,Ses04F,ang,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03M_impro05b\Ses03M_impro05b_F007.wav,IEMOCAP,Ses03M,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03M_impro08b\Ses03M_impro08b_M001.wav,IEMOCAP,Ses03M,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03M_impro08b\Ses03M_impro08b_M021.wav,IEMOCAP,Ses03M,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04F_impro03\Ses04F_impro03_M004.wav,IEMOCAP,Ses04F,exc,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1075_IWL_SAD_XX.wav,CREMA-D,1075,SAD,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05F_impro02\Ses05F_impro02_F012.wav,IEMOCAP,Ses05F,sad,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_script01_1\Ses01F_script01_1_F005.wav,IEMOCAP,Ses01F,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03M_impro05a\Ses03M_impro05a_M006.wav,IEMOCAP,Ses03M,ang,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session2\sentences\wav\Ses02M_impro06\Ses02M_impro06_F011.wav,IEMOCAP,Ses02M,sad,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1091_IWW_SAD_XX.wav,CREMA-D,1091,SAD,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05F_impro05\Ses05F_impro05_F021.wav,IEMOCAP,Ses05F,ang,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03F_script01_3\Ses03F_script01_3_M013.wav,IEMOCAP,Ses03F,hap,happy,train
C:\Code\Python\data\RAVDESS\audio_speech_actors_01-24\Actor_19\03-01-04-01-01-01-19.wav,RAVDESS,19,04,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05F_script01_1\Ses05F_script01_1_F025.wav,IEMOCAP,Ses05F,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session2\sentences\wav\Ses02F_script03_1\Ses02F_script03_1_M034.wav,IEMOCAP,Ses02F,neu,neutral,train
C:\Code\Python\data\RAVDESS\audio_speech_actors_01-24\Actor_06\03-01-02-01-01-01-06.wav,RAVDESS,06,02,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session2\sentences\wav\Ses02M_script03_2\Ses02M_script03_2_M047.wav,IEMOCAP,Ses02M,ang,angry,train
C:\Code\Python\data\RAVDESS\audio_speech_actors_01-24\Actor_22\03-01-05-01-01-02-22.wav,RAVDESS,22,05,angry,train
C:\Code\Python\data\CREMA-D\AudioWAV\1083_TAI_NEU_XX.wav,CREMA-D,1083,NEU,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1030_TSI_HAP_XX.wav,CREMA-D,1030,HAP,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1032_TIE_SAD_XX.wav,CREMA-D,1032,SAD,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03M_impro08b\Ses03M_impro08b_M012.wav,IEMOCAP,Ses03M,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04M_script03_2\Ses04M_script03_2_F028.wav,IEMOCAP,Ses04M,ang,angry,train
C:\Code\Python\data\CREMA-D\AudioWAV\1031_TAI_SAD_XX.wav,CREMA-D,1031,SAD,sad,train
C:\Code\Python\data\RAVDESS\audio_speech_actors_01-24\Actor_10\03-01-04-01-01-01-10.wav,RAVDESS,10,04,sad,train
C:\Code\Python\data\RAVDESS\audio_speech_actors_01-24\Actor_10\03-01-02-01-02-02-10.wav,RAVDESS,10,02,neutral,train
C:\Code\Python\data\RAVDESS\Actor_09\03-01-03-01-01-02-09.wav,RAVDESS,09,03,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04M_script01_2\Ses04M_script01_2_M005.wav,IEMOCAP,Ses04M,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04M_impro07\Ses04M_impro07_F012.wav,IEMOCAP,Ses04M,exc,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session2\sentences\wav\Ses02M_script03_2\Ses02M_script03_2_M027.wav,IEMOCAP,Ses02M,ang,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_script02_1\Ses01F_script02_1_M025.wav,IEMOCAP,Ses01F,neu,neutral,train
C:\Code\Python\data\RAVDESS\audio_speech_actors_01-24\Actor_14\03-01-05-01-02-02-14.wav,RAVDESS,14,05,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01M_script03_2\Ses01M_script03_2_M026.wav,IEMOCAP,Ses01M,ang,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04F_script02_1\Ses04F_script02_1_F021.wav,IEMOCAP,Ses04F,ang,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session2\sentences\wav\Ses02F_script02_1\Ses02F_script02_1_M044.wav,IEMOCAP,Ses02F,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04M_impro06\Ses04M_impro06_M008.wav,IEMOCAP,Ses04M,sad,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04M_script03_2\Ses04M_script03_2_F042.wav,IEMOCAP,Ses04M,ang,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05F_impro01\Ses05F_impro01_F008.wav,IEMOCAP,Ses05F,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03M_impro08a\Ses03M_impro08a_M024.wav,IEMOCAP,Ses03M,neu,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1067_IEO_SAD_MD.wav,CREMA-D,1067,SAD,sad,train
C:\Code\Python\data\RAVDESS\Actor_08\03-01-04-01-01-02-08.wav,RAVDESS,08,04,sad,train
C:\Code\Python\data\RAVDESS\audio_speech_actors_01-24\Actor_22\03-01-03-02-02-02-22.wav,RAVDESS,22,03,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1003_IEO_ANG_HI.wav,CREMA-D,1003,ANG,angry,train
C:\Code\Python\data\CREMA-D\AudioWAV\1011_ITS_ANG_XX.wav,CREMA-D,1011,ANG,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session2\sentences\wav\Ses02M_impro06\Ses02M_impro06_M002.wav,IEMOCAP,Ses02M,sad,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05F_impro03\Ses05F_impro03_M062.wav,IEMOCAP,Ses05F,hap,happy,train
C:\Code\Python\data\RAVDESS\audio_speech_actors_01-24\Actor_04\03-01-04-01-01-02-04.wav,RAVDESS,04,04,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01M_impro05\Ses01M_impro05_F028.wav,IEMOCAP,Ses01M,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session2\sentences\wav\Ses02M_script03_2\Ses02M_script03_2_M031.wav,IEMOCAP,Ses02M,ang,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session2\sentences\wav\Ses02M_script02_2\Ses02M_script02_2_M021.wav,IEMOCAP,Ses02M,neu,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1064_IOM_HAP_XX.wav,CREMA-D,1064,HAP,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1054_IOM_SAD_XX.wav,CREMA-D,1054,SAD,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05F_impro05\Ses05F_impro05_F007.wav,IEMOCAP,Ses05F,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04M_script02_2\Ses04M_script02_2_F006.wav,IEMOCAP,Ses04M,ang,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03M_impro06\Ses03M_impro06_M021.wav,IEMOCAP,Ses03M,sad,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1008_ITH_HAP_XX.wav,CREMA-D,1008,HAP,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1056_DFA_NEU_XX.wav,CREMA-D,1056,NEU,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05M_impro02\Ses05M_impro02_F012.wav,IEMOCAP,Ses05M,neu,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1001_IWW_NEU_XX.wav,CREMA-D,1001,NEU,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1079_WSI_HAP_XX.wav,CREMA-D,1079,HAP,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04F_impro06\Ses04F_impro06_M008.wav,IEMOCAP,Ses04F,sad,sad,train
C:\Code\Python\data\RAVDESS\Actor_15\03-01-02-01-01-02-15.wav,RAVDESS,15,02,neutral,train
C:\Code\Python\data\RAVDESS\Actor_04\03-01-03-02-01-02-04.wav,RAVDESS,04,03,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1038_TSI_NEU_XX.wav,CREMA-D,1038,NEU,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1079_IOM_SAD_XX.wav,CREMA-D,1079,SAD,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1038_IWW_NEU_XX.wav,CREMA-D,1038,NEU,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1082_IEO_SAD_MD.wav,CREMA-D,1082,SAD,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session2\sentences\wav\Ses02M_impro01\Ses02M_impro01_M009.wav,IEMOCAP,Ses02M,ang,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03F_script03_1\Ses03F_script03_1_M013.wav,IEMOCAP,Ses03F,exc,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03F_impro01\Ses03F_impro01_M005.wav,IEMOCAP,Ses03F,neu,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01F_script02_2\Ses01F_script02_2_M006.wav,IEMOCAP,Ses01F,neu,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1046_WSI_SAD_XX.wav,CREMA-D,1046,SAD,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01M_script03_2\Ses01M_script03_2_F006.wav,IEMOCAP,Ses01M,neu,neutral,train
C:\Code\Python\data\CREMA-D\AudioWAV\1089_IOM_HAP_XX.wav,CREMA-D,1089,HAP,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1007_DFA_NEU_XX.wav,CREMA-D,1007,NEU,neutral,train
C:\Code\Python\data\RAVDESS\Actor_08\03-01-04-01-02-01-08.wav,RAVDESS,08,04,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05F_script02_2\Ses05F_script02_2_F033.wav,IEMOCAP,Ses05F,hap,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1031_TIE_HAP_XX.wav,CREMA-D,1031,HAP,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1050_ITS_NEU_XX.wav,CREMA-D,1050,NEU,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04M_script01_1\Ses04M_script01_1_F029.wav,IEMOCAP,Ses04M,ang,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session1\sentences\wav\Ses01M_script03_1\Ses01M_script03_1_F007.wav,IEMOCAP,Ses01M,exc,happy,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session3\sentences\wav\Ses03M_impro06\Ses03M_impro06_M000.wav,IEMOCAP,Ses03M,sad,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04F_script03_2\Ses04F_script03_2_M035.wav,IEMOCAP,Ses04F,ang,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05M_script01_1b\Ses05M_script01_1b_F026.wav,IEMOCAP,Ses05M,neu,neutral,train
C:\Code\Python\data\RAVDESS\audio_speech_actors_01-24\Actor_21\03-01-04-02-01-01-21.wav,RAVDESS,21,04,sad,train
C:\Code\Python\data\RAVDESS\audio_speech_actors_01-24\Actor_22\03-01-04-01-01-01-22.wav,RAVDESS,22,04,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05M_script01_1\Ses05M_script01_1_M011.wav,IEMOCAP,Ses05M,ang,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05M_script01_3\Ses05M_script01_3_M030.wav,IEMOCAP,Ses05M,sad,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1008_IWW_ANG_XX.wav,CREMA-D,1008,ANG,angry,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session2\sentences\wav\Ses02M_impro03\Ses02M_impro03_F005.wav,IEMOCAP,Ses02M,exc,happy,train
C:\Code\Python\data\CREMA-D\AudioWAV\1057_IEO_SAD_MD.wav,CREMA-D,1057,SAD,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session2\sentences\wav\Ses02F_script03_1\Ses02F_script03_1_M025.wav,IEMOCAP,Ses02F,neu,neutral,train
C:\Code\Python\data\RAVDESS\audio_speech_actors_01-24\Actor_24\03-01-04-01-01-01-24.wav,RAVDESS,24,04,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1030_TIE_HAP_XX.wav,CREMA-D,1030,HAP,happy,train
C:\Code\Python\data\RAVDESS\Actor_24\03-01-02-02-01-01-24.wav,RAVDESS,24,02,neutral,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session4\sentences\wav\Ses04F_impro02\Ses04F_impro02_F007.wav,IEMOCAP,Ses04F,sad,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session5\sentences\wav\Ses05F_impro02\Ses05F_impro02_F024.wav,IEMOCAP,Ses05F,sad,sad,train
C:\Code\Python\data\IEMOCAP\IEMOCAP_full_release\Session2\sentences\wav\Ses02M_impro02\Ses02M_impro02_F001.wav,IEMOCAP,Ses02M,sad,sad,train
C:\Code\Python\data\CREMA-D\AudioWAV\1067_IEO_HAP_HI.wav,CREMA-D,1067,HAP,happy,train
C:\Code\Python\data\RAVDESS\Actor_19\03-01-04-02-02-01-19.wav,RAVDESS,19,04,sad,train
